Study,Subject,Group,Session,Metric,Metric_value,State
SRM,001,SRM,t1,bad_by_nan,0,original
SRM,002,SRM,t1,bad_by_flat,0,original
SRM,002,SRM,t2,bad_by_deviation,1,original
SRM,003,SRM,t1,bad_by_hf_noise,0,original
SRM,003,SRM,t2,bad_by_correlation,0,original
SRM,004,SRM,t1,bad_by_SNR,0,original
SRM,005,SRM,t1,bad_by_dropout,0,original
SRM,005,SRM,t2,bad_by_ransac,0,original
SRM,006,SRM,t1,bad_all,1,original
SRM,007,SRM,t1,bad_by_nan,0,before_interpolation
SRM,007,SRM,t2,bad_by_flat,0,before_interpolation
SRM,008,SRM,t1,bad_by_deviation,1,before_interpolation
SRM,009,SRM,t1,bad_by_hf_noise,0,before_interpolation
SRM,010,SRM,t1,bad_by_correlation,0,before_interpolation
SRM,011,SRM,t1,bad_by_SNR,0,before_interpolation
SRM,011,SRM,t2,bad_by_dropout,0,before_interpolation
SRM,012,SRM,t1,bad_by_ransac,0,before_interpolation
SRM,013,SRM,t1,bad_all,1,before_interpolation
SRM,014,SRM,t1,bad_by_nan,0,after_interpolation
SRM,015,SRM,t1,bad_by_flat,0,after_interpolation
SRM,016,SRM,t1,bad_by_deviation,0,after_interpolation
SRM,017,SRM,t1,bad_by_hf_noise,0,after_interpolation
SRM,018,SRM,t1,bad_by_correlation,0,after_interpolation
SRM,019,SRM,t1,bad_by_SNR,0,after_interpolation
SRM,020,SRM,t1,bad_by_dropout,0,after_interpolation
SRM,020,SRM,t2,bad_by_ransac,0,after_interpolation
SRM,021,SRM,t1,bad_all,0,after_interpolation
SRM,021,SRM,t2,bad_by_nan,0,original
SRM,022,SRM,t1,bad_by_flat,0,original
SRM,023,SRM,t1,bad_by_deviation,2,original
SRM,024,SRM,t1,bad_by_hf_noise,4,original
SRM,025,SRM,t1,bad_by_correlation,5,original
SRM,026,SRM,t1,bad_by_SNR,4,original
SRM,026,SRM,t2,bad_by_dropout,0,original
SRM,027,SRM,t1,bad_by_ransac,0,original
SRM,027,SRM,t2,bad_all,5,original
SRM,028,SRM,t1,bad_by_nan,0,before_interpolation
SRM,028,SRM,t2,bad_by_flat,0,before_interpolation
SRM,029,SRM,t1,bad_by_deviation,2,before_interpolation
SRM,030,SRM,t1,bad_by_hf_noise,4,before_interpolation
SRM,030,SRM,t2,bad_by_correlation,4,before_interpolation
SRM,031,SRM,t1,bad_by_SNR,4,before_interpolation
SRM,032,SRM,t1,bad_by_dropout,0,before_interpolation
SRM,032,SRM,t2,bad_by_ransac,0,before_interpolation
SRM,033,SRM,t1,bad_all,4,before_interpolation
SRM,034,SRM,t1,bad_by_nan,0,after_interpolation
